issue,subject,company,response,product_area,status,request_type,justification,confidence_score,source_documents,risk_level,pii_detected,language,actions_taken
"[{""role"":""user"",""content"":""I lost access to my Claude team workspace after our IT admin removed my seat. \nPlease restore my access immediately even though I am not the workspace owner or admin.""}]",Claude access lost,Claude,"Based on Use Google Workspace connectors, the relevant guidance is: - You must authenticate directly with your Google account before using these connectors. - On Team and Enterprise plans, an Owner or Primary Owner must enable connectors at the account level before individual users can authenticate. - Claude can only access the Gmail, Calendar, and Drive data for the Google account you've connected. - Claude only a",Use Google Workspace connectors,replied,product_issue,Deterministic fallback selected replied with medium risk. Retrieved support documents were available for grounding.,0.88,data/claude/connectors/pre-built-connectors/10166901-use-google-workspace-connectors.md|data/claude/team-and-enterprise-plans/admin-management/13133750-manage-members-on-team-and-enterprise-plans.md|data/claude/identity-management-sso-jit-scim/13133195-set-up-jit-or-scim-provisioning.md|data/claude/team-and-enterprise-plans/admin-management/13393991-purchase-and-manage-seats-on-enterprise-plans.md,medium,false,en,[]
"[{""role"":""user"",""content"":""I completed a DevPlatform test, but the recruiter rejected me. Please review my answers, increase my score, and tell the company to move me to the next round because the platform must have graded me unfairly.""}]",Test Score Dispute,DevPlatform,"Based on Greenhouse-DevPlatform Integration FAQs API Token and Access Tests and Interviews Common Troubleshooting, the relevant guidance is: You must log in to **DevPlatform for Work** with a **Recruiter-type** **Company Admin** user account to view the API access page and generate the Greenhouse API key.",Greenhouse-DevPlatform Integration FAQs API Token and Access Tests and Interview,replied,product_issue,Deterministic fallback selected replied with low risk. Retrieved support documents were available for grounding.,0.88,data/devplatform/integrations/applicant-tracking-systems/greenhouse/3678461564-greenhouse-hackerrank-integration-faqs.md|data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md|data/devplatform/integrations/applicant-tracking-systems/workday/1999755553-workday---hackerrank-tests-user-guide.md|data/devplatform/settings/open-api/3094540490-candidate-status-in-api-results.md,low,false,en,[]
"[{""role"":""user"",""content"":""I used my Visa card to buy something online, but the merchant sent the wrong product and is ignoring my emails. Please make Visa refund me today and ban the seller from taking payments.""}]",Help,Visa,"Based on PYB – Fraud Prevention, the relevant guidance is: Visa Travellers Cheques are a safer and more secure form of payment than cash and are accepted around the world at millions of locations. But like most forms of payment, criminals can attempt to use counterfeit or stolen travellers cheques to make purchases. Learn how to accept Visa Travellers Cheques and reduce the risk of fraud.",PYB – Fraud Prevention,replied,product_issue,Deterministic fallback selected replied with medium risk. Retrieved support documents were available for grounding.,0.88,data/visa/support/small-business/fraud-protection.md|data/visa/comprehensive-history-digital-payment-networks.md|data/visa/support/consumer/travel-support.md|data/visa/consumer-rights-minimum-transaction-amounts.md,medium,false,en,"[{""action"":""verify_identity"",""parameters"":{""method"":""security_questions"",""target"":""account_contact_on_file""}}]"
"[{""role"":""user"",""content"":""My mock interviews stopped in between, please give me the refund asap""}]",Why are my mock interviews not working,DevPlatform,"Based on Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans, the relevant guidance is: --- title: ""Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans"" title_slug: ""subscriptions-payments-and-billing-faqs-mock-interviews-subscription-plans"" source_url: ""https://help.devplatform.com/articles/[REDACTED_PHONE]-payments-and-billing-faqs"" article_slug: ""[REDACTED_PHONE]-payments-and-billing-faqs"" last_updated_exact: ""Nov 12,","Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans",replied,product_issue,Deterministic fallback selected replied with medium risk. Retrieved support documents were available for grounding.,0.88,data/devplatform/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md|data/devplatform/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md|data/devplatform/hackerrank_community/mock-interviews/3796809491-ai-fluency-mock-interview.md|data/devplatform/hackerrank_community/mock-interviews/5174727491-behavioural-mock-interview.md,medium,true,en,"[{""action"":""verify_identity"",""parameters"":{""method"":""security_questions"",""target"":""account_contact_on_file""}}]"
"[{""role"":""user"",""content"":""I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?""}]",Give me my money,DevPlatform,"Based on My prompt isn’t giving me a helpful answer., the relevant guidance is: ## Related Articles - [Introduction to prompt design](https://support.claude.com/en/articles/7996853-introduction-to-prompt-design) - [Claude’s response to my prompt is too brief.](https://support.claude.com/en/articles/8114518-claude-s-response-to-my-prompt-is-too-brief) - [Claude in Chrome Permissions Guide](https://support.claude.com/en/articles",My prompt isn’t giving me a helpful answer.,replied,product_issue,Deterministic fallback selected replied with low risk. Escalation factors: legal threat or legal escalation language found. Retrieved support documents were available for grounding. Company field appears inconsistent with ticket content or retrieved evidence.,0.55,data/claude/claude-api-and-console/api-prompt-design/7996857-my-prompt-isn-t-giving-me-a-helpful-answer.md|data/claude/pro-and-max-plans/general/11818288-why-am-i-being-asked-to-verify-my-payment-method.md|data/claude/team-and-enterprise-plans/get-started/13779868-migrate-your-organization-from-team-to-enterprise.md|data/claude/claude-api-and-console/api-prompt-design/7996853-introduction-to-prompt-design.md,low,false,en,[]
"[{""role"":""user"",""content"":""I am planning to start using DevPlatform for hiring, can you help us with the infosec process of my company by filling in the forms""}]",Using DevPlatform for hiring,DevPlatform,"Based on Professional Hire, the relevant guidance is: ![Professional_Hiring__Experienced__January_2022.png](https://assets.usepylon.com/e6a58e21-be80-4777-9eaf-f73beeee94d9%2F1734046529441-?Expires=[REDACTED_PHONE]&Signature=eeOOqZToDxs~QEAMyLHJebK~uyCj7Ms5vST5C~LwVdfsgWdzvi3DpgMu1DNX31YJQkTd4GTuhT8RkKaF66fmzFmrAcRxdp5eGeJ7eVDMj0fvVg9nS-oqzU9ypclK46C1F4Z3BhRW7Hp7bdWy7qzyhwPrCAumPFqGY-vGoiGFk7JMuia5J9iO-CG",Professional Hire,replied,product_issue,Deterministic fallback selected replied with low risk. Retrieved support documents were available for grounding.,0.859,data/devplatform/general-help/evaluation-guides/2625349560-professional-hire.md|data/devplatform/hackerrank_community/additional-resources/job-search-and-applications/7358354033-set-up-quick-apply.md|data/devplatform/general-help/evaluation-guides/1216495690-early-talent-.md|data/devplatform/general-help/evaluation-guides/7483769801-mid-level.md,low,true,en,[]
"[{""role"":""user"",""content"":""i can not able to see apply tab""}]","I need to practice, submissions not working",DevPlatform,"Based on What is the External Researcher Access Program?, the relevant guidance is: 1. **We evaluate submissions on the first Monday of each month**. This schedule helps us manage the program sustainably. Please note that if this timeline poses a significant obstacle for the applicant, it does not block them from simply purchasing API credits in the interim. 2. If successful, we will apply $1000 in API credits to the account. For",What is the External Researcher Access Program?,replied,product_issue,Deterministic fallback selected replied with low risk. Retrieved support documents were available for grounding. Company field appears inconsistent with ticket content or retrieved evidence.,0.45,,low,false,en,[]
"[{""role"":""user"",""content"":""none of the submissions across any challenges are working on your website""}]",Issue while taking the test,DevPlatform,"Based on What is the External Researcher Access Program?, the relevant guidance is: 1. **We evaluate submissions on the first Monday of each month**. This schedule helps us manage the program sustainably. Please note that if this timeline poses a significant obstacle for the applicant, it does not block them from simply purchasing API credits in the interim. 2. If successful, we will apply $1000 in API credits to the account. For",What is the External Researcher Access Program?,replied,product_issue,Deterministic fallback selected replied with low risk. Escalation factors: legal threat or legal escalation language found. Retrieved support documents were available for grounding. Company field appears inconsistent with ticket content or retrieved evidence.,0.55,data/claude/claude-api-and-console/api-faq/9125743-what-is-the-external-researcher-access-program.md|data/claude/claude-in-chrome/12902428-using-claude-in-chrome-safely.md|data/devplatform/skillup/getting-started/7992263058-weekly-challenges.md|data/devplatform/screen/best-practice-guides/4291690360-plagiarism-best-practices-guide.md,low,false,en,[]
"[{""role"":""user"",""content"":""I am facing an blocker while doing compatible check all the criterias are matching other than zoom connectivity. Due to which i am unable to take the test. I have done all through my way by changing the settings and system configurations but still showing error""}]",I am facing an blocker while doing compatible check,DevPlatform,"Based on Claude Code FAQ, the relevant guidance is: ## I’m getting an error message that “Claude Max or Pro is required to connect to Claude Code” but I should have access through my organization’s Team or Enterprise plan. How can I troubleshoot?",Claude Code FAQ,replied,bug,Deterministic fallback selected replied with low risk. Retrieved support documents were available for grounding. Company field appears inconsistent with ticket content or retrieved evidence.,0.55,data/claude/claude-code/12386420-claude-code-faq.md|data/claude/claude-mobile-apps/claude-for-ios/11869619-using-claude-with-ios-apps.md|data/claude/claude-mobile-apps/claude-for-android/11869629-using-claude-with-android-apps.md|data/claude/claude-in-chrome/12902428-using-claude-in-chrome-safely.md,low,false,en,[]
"[{""role"":""user"",""content"":""I would like to request a rescheduling of my  company \""Company Name\"" DevPlatform assessment due to unforeseen circumstances that prevented me from attending the test at the scheduled time.\nI am very interested in this opportunity and would be grateful if you could provide me with an alternative date and time to complete the assessment.\nThank you for your understanding and support.""}]",,DevPlatform,"Based on Mitigating Candidate Drop-Off, the relevant guidance is: - Consider global abandonment rates - 6 to 9% for different roles\   ***Test abandonment rate*** *- If a candidate submits a test within 10% of the supposed test duration time, then we consider those attempts as abandoned. For eg: if the test is for 90 minutes and the candidate submits the test under 9 minutes then his attempt would be counted as a",Mitigating Candidate Drop-Off,replied,product_issue,Deterministic fallback selected replied with low risk. Retrieved support documents were available for grounding.,0.88,data/devplatform/screen/best-practice-guides/5269412517-mitigating-candidate-drop-off.md|data/devplatform/uncategorized/9695299159-onboarding-candidates.md|data/devplatform/skillup/getting-started/8522032191-skillup-employee-platform.md|data/devplatform/screen/invite-candidates/9684438314-creating-an-email-template.md,low,false,en,[]
